LCLid,cluster,Acorn,Acorn_grouped,stdorToU
MAC000002,1,ACORN-A,Affluent,Std
MAC000003,1,ACORN-P,Adversity,Std
MAC000004,2,ACORN-E,Affluent,Std
MAC000005,2,ACORN-C,Affluent,ToU
MAC000006,2,ACORN-Q,Adversity,Std
MAC000007,1,ACORN-H,Comfortable,Std
MAC000008,1,ACORN-H,Comfortable,Std
MAC000009,2,ACORN-L,Adversity,Std
MAC000010,0,ACORN-H,Comfortable,Std
MAC000011,1,ACORN-N,Adversity,Std
MAC000012,2,ACORN-E,Affluent,Std
MAC000013,2,ACORN-K,Adversity,Std
MAC000014,2,ACORN-L,Adversity,ToU
MAC000015,1,ACORN-E,Affluent,ToU
MAC000016,2,ACORN-K,Adversity,Std
MAC000017,2,ACORN-C,Affluent,ToU
MAC000018,2,ACORN-E,Affluent,Std
MAC000019,2,ACORN-K,Adversity,Std
MAC000020,2,ACORN-J,Comfortable,Std
MAC000021,1,ACORN-E,Affluent,Std
MAC000022,1,ACORN-Q,Adversity,Std
MAC000023,1,ACORN-U,ACORN-U,Std
MAC000024,1,ACORN-E,Affluent,Std
MAC000025,2,ACORN-P,Adversity,Std
MAC000026,1,ACORN-D,Affluent,Std
MAC000027,2,ACORN-J,Comfortable,Std
MAC000028,2,ACORN-E,Affluent,Std
MAC000029,2,ACORN-P,Adversity,Std
MAC000030,1,ACORN-A,Affluent,Std
MAC000031,1,ACORN-Q,Adversity,ToU
MAC000032,1,ACORN-Q,Adversity,Std
MAC000033,2,ACORN-E,Affluent,Std
MAC000034,0,ACORN-E,Affluent,Std
MAC000035,1,ACORN-E,Affluent,Std
MAC000036,2,ACORN-E,Affluent,Std
MAC000037,2,ACORN-E,Affluent,Std
MAC000038,1,ACORN-L,Adversity,Std
MAC000039,2,ACORN-F,Comfortable,Std
MAC000040,0,ACORN-A,Affluent,Std
MAC000041,2,ACORN-Q,Adversity,Std
MAC000042,2,ACORN-Q,Adversity,Std
MAC000043,2,ACORN-H,Comfortable,Std
MAC000044,1,ACORN-F,Comfortable,ToU
MAC000045,1,ACORN-E,Affluent,Std
MAC000046,1,ACORN-N,Adversity,ToU
MAC000047,2,ACORN-Q,Adversity,Std
MAC000048,2,ACORN-E,Affluent,ToU
MAC000049,0,ACORN-E,Affluent,Std
MAC000050,1,ACORN-D,Affluent,Std
MAC000051,1,ACORN-F,Comfortable,ToU
MAC000052,2,ACORN-D,Affluent,ToU
MAC000053,2,ACORN-F,Comfortable,Std
MAC000054,2,ACORN-Q,Adversity,Std
MAC000055,1,ACORN-K,Adversity,Std
MAC000056,2,ACORN-Q,Adversity,Std
MAC000057,1,ACORN-E,Affluent,Std
MAC000058,2,ACORN-E,Affluent,Std
MAC000059,1,ACORN-H,Comfortable,Std
MAC000060,1,ACORN-F,Comfortable,Std
MAC000061,2,ACORN-Q,Adversity,Std
MAC000062,1,ACORN-H,Comfortable,Std
MAC000063,1,ACORN-D,Affluent,Std
MAC000064,1,ACORN-E,Affluent,ToU
MAC000065,2,ACORN-L,Adversity,ToU
MAC000066,2,ACORN-E,Affluent,Std
MAC000067,2,ACORN-N,Adversity,Std
MAC000068,1,ACORN-L,Adversity,Std
MAC000069,2,ACORN-G,Comfortable,Std
MAC000070,2,ACORN-H,Comfortable,Std
MAC000071,1,ACORN-J,Comfortable,ToU
MAC000072,2,ACORN-E,Affluent,Std
MAC000073,2,ACORN-D,Affluent,Std
MAC000074,1,ACORN-H,Comfortable,Std
MAC000075,2,ACORN-E,Affluent,ToU
MAC000076,1,ACORN-E,Affluent,ToU
MAC000077,2,ACORN-Q,Adversity,Std
MAC000078,2,ACORN-E,Affluent,Std
MAC000079,1,ACORN-D,Affluent,Std
MAC000080,2,ACORN-E,Affluent,Std
MAC000081,1,ACORN-K,Adversity,Std
MAC000082,2,ACORN-E,Affluent,ToU
MAC000083,1,ACORN-J,Comfortable,Std
MAC000084,1,ACORN-D,Affluent,Std
MAC000085,0,ACORN-D,Affluent,Std
MAC000086,2,ACORN-E,Affluent,Std
MAC000087,1,ACORN-E,Affluent,Std
MAC000088,1,ACORN-Q,Adversity,ToU
MAC000089,2,ACORN-H,Comfortable,Std
MAC000090,1,ACORN-Q,Adversity,Std
MAC000091,2,ACORN-H,Comfortable,Std
MAC000092,2,ACORN-Q,Adversity,Std
MAC000093,1,ACORN-H,Comfortable,Std
