LCLid,avg_daily_consumption,std_daily_consumption,avg_daily_mean,avg_daily_peak,avg_load_factor,weekday_avg,weekend_avg,weekend_weekday_ratio,coef_variation,cluster,Acorn,Acorn_grouped,stdorToU
MAC000002,12.070638,4.4945183,0.25458974,1.0860951,0.25610268,11.758204,12.8538885,1.0931846,0.37235135,1,ACORN-A,Affluent,Std
MAC000003,19.028193,11.606124,0.3968093,1.8655609,0.20717031,19.12866,18.774633,0.98149234,0.60994357,1,ACORN-P,Adversity,Std
MAC000004,1.6915997,0.4313768,0.035390552,0.23623413,0.15489578,1.6736941,1.7367446,1.0376714,0.25501117,2,ACORN-E,Affluent,Std
MAC000005,4.5627055,1.4705111,0.095362514,0.5892618,0.20221002,4.554494,4.58328,1.0063204,0.3222893,2,ACORN-C,Affluent,ToU
MAC000006,2.8481576,0.88217145,0.05945502,0.2489895,0.25654155,2.8928423,2.7354121,0.9455794,0.30973408,2,ACORN-Q,Adversity,Std
MAC000007,9.469782,3.8752604,0.19763952,1.0368317,0.21275617,8.99588,10.6705475,1.1861594,0.40922382,1,ACORN-H,Comfortable,Std
MAC000008,17.354137,4.969148,0.3632952,1.110785,0.369839,17.435513,17.151737,0.9837243,0.28633794,1,ACORN-H,Comfortable,Std
MAC000009,8.56496,1.7605664,0.17877588,0.8895446,0.23511142,8.493274,8.745133,1.029654,0.20555454,2,ACORN-L,Adversity,Std
MAC000010,26.348434,5.93172,0.5500506,1.9220937,0.29491422,25.91957,27.435081,1.0584698,0.22512609,0,ACORN-H,Comfortable,Std
MAC000011,15.042477,4.43202,0.31438217,1.0690969,0.31153476,14.894164,15.418556,1.0352079,0.2946337,1,ACORN-N,Adversity,Std
MAC000012,2.1094816,2.1527245,0.04403623,0.15941553,0.39744145,2.14445,2.0211027,0.9424807,1.0204993,2,ACORN-E,Affluent,Std
MAC000013,5.2713237,1.2580463,0.110047705,0.23197572,0.48450753,5.2752986,5.2613406,0.9973541,0.23865852,2,ACORN-K,Adversity,Std
MAC000014,6.2392926,1.5977178,0.13021967,1.0333028,0.13721462,6.186636,6.3727884,1.0300895,0.25607353,2,ACORN-L,Adversity,ToU
MAC000015,10.972761,4.6985455,0.22935888,0.72877204,0.36997736,11.177329,10.457814,0.9356273,0.42820084,1,ACORN-E,Affluent,ToU
MAC000016,1.3081765,1.8576858,0.027496472,0.09669853,0.35400257,1.3054795,1.3149655,1.0072663,1.4200574,2,ACORN-K,Adversity,Std
MAC000017,6.3718452,2.3564403,0.1333168,0.5896324,0.26689073,6.287118,6.585125,1.0473996,0.3698207,2,ACORN-C,Affluent,ToU
MAC000018,10.722882,3.6425154,0.22401807,0.6779276,0.41471478,10.673626,10.84666,1.0162114,0.33969554,2,ACORN-E,Affluent,Std
MAC000019,6.2081227,2.1837976,0.1297168,0.5813006,0.3064579,6.1149573,6.442241,1.0535219,0.35176456,2,ACORN-K,Adversity,Std
MAC000020,6.555169,2.287136,0.13675073,0.6341141,0.27943462,6.478753,6.747198,1.0414346,0.34890574,2,ACORN-J,Comfortable,Std
MAC000021,22.468618,5.884856,0.46933484,1.0012085,0.534165,23.58923,19.652594,0.83311725,0.26191446,1,ACORN-E,Affluent,Std
MAC000022,12.52341,6.8634543,0.2614761,0.63443923,0.41151157,12.520546,12.530608,1.0008037,0.54805,1,ACORN-Q,Adversity,Std
